Country,País,module,Magento_BraintreeTwo
"Allowed Credit Card Types","Tipos de tarjetas de crédito permitidos",module,Magento_BraintreeTwo
"Add Rule","Agregar regla",module,Magento_BraintreeTwo
"Braintree Settlement Report","Informe de solución de Braintree",module,Magento_BraintreeTwo
"Sorry, but something went wrong","Lo sentimos, pero algo salió mal",module,Magento_BraintreeTwo
"We can\'t initialize checkout.","No se puede iniciar el cobro.",module,Magento_BraintreeTwo
"No authorization transaction to proceed capture.","Ninguna transacción de autorización para proceder a la captura.",module,Magento_BraintreeTwo
"Braintree error response.","Respuesta de error de Braintree.",module,Magento_BraintreeTwo
"Payment method nonce can\'t be retrieved.","La forma de pago no puede ser recuperada.",module,Magento_BraintreeTwo
"Wrong transaction status","Estado de transacción incorrecto",module,Magento_BraintreeTwo
Authorize,Autorizar,module,Magento_BraintreeTwo
"Authorize and Capture","Autorizar y capturar",module,Magento_BraintreeTwo
"--Please Select--","--Por favor Seleccione--",module,Magento_BraintreeTwo
"Please agree to all the terms and conditions before placing the order.","Por favor, debe estar de acuerdo con todos los términos y condiciones antes de realizar el pedido.",module,Magento_BraintreeTwo
"Paypal account","Cuenta de PayPal",module,Magento_BraintreeTwo
"Coinbase account","Cuenta Coinbase",module,Magento_BraintreeTwo
"Europe bank account","Cuenta del banco europeo",module,Magento_BraintreeTwo
"Credit card","Tarjeta de crédito",module,Magento_BraintreeTwo
"Apple pay card","Tarjeta de pago de Apple",module,Magento_BraintreeTwo
"Android pay card","Tarjeta de pago Android",module,Magento_BraintreeTwo
"Authorization expired","Autorización caducada",module,Magento_BraintreeTwo
Authorizing,Autorizando,module,Magento_BraintreeTwo
Authorized,Autorizado,module,Magento_BraintreeTwo
"Gateway rejected","Puerta de enlace rechazada",module,Magento_BraintreeTwo
Failed,"Ha fallado",module,Magento_BraintreeTwo
"Processor declined","Declinado por el procesador",module,Magento_BraintreeTwo
Settled,Establecido,module,Magento_BraintreeTwo
Settling,Estableciendo,module,Magento_BraintreeTwo
"Submitted for settlement","Enviado por establecimiento",module,Magento_BraintreeTwo
Voided,Anuladas,module,Magento_BraintreeTwo
Unrecognized,"No reconocido",module,Magento_BraintreeTwo
"Settlement declined","Establecimiento declinado",module,Magento_BraintreeTwo
"Settlement pending","Establecimiento pendiente",module,Magento_BraintreeTwo
"Settlement confirmed","Establecimiento confirmado",module,Magento_BraintreeTwo
Sale,Venta,module,Magento_BraintreeTwo
Credit,Crédito,module,Magento_BraintreeTwo
"Credit Card Type","Tipo de la tarjeta de crédito",module,Magento_BraintreeTwo
"Credit Card Number","Número de la tarjeta de crédito",module,Magento_BraintreeTwo
"Please, enter valid Credit Card Number","Por favor, indique un número de tarjeta de crédito válido",module,Magento_BraintreeTwo
"Expiration Date","Fecha de vencimiento",module,Magento_BraintreeTwo
"Please, enter valid Expiration Date","Por favor, indique la fecha de vencimiento válida",module,Magento_BraintreeTwo
"Card Verification Number","Verificación de la tarjeta de crédito",module,Magento_BraintreeTwo
"Please, enter valid Card Verification Number","Por favor, indique el número de verificación de tarjeta válido",module,Magento_BraintreeTwo
ending,finalizando,module,Magento_BraintreeTwo
expires,vence,module,Magento_BraintreeTwo
"Credit Card Information","Información de tarjeta de crédito",module,Magento_BraintreeTwo
"What is this?","¿Qué es esto?",module,Magento_BraintreeTwo
"Save for later use.","Guardar para su uso posterior.",module,Magento_BraintreeTwo
"Place Order","Realizar pedido",module,Magento_BraintreeTwo
"This payment is not available","Este pago no está disponible",module,Magento_BraintreeTwo
MM,MM,module,Magento_BraintreeTwo
YY,AA,module,Magento_BraintreeTwo
"Please try again with another form of payment.","Por favor, inténtelo de nuevo con otra forma de pago.",module,Magento_BraintreeTwo
"Sorry, but something went wrong.","Lo sentimos, pero algo salió mal.",module,Magento_BraintreeTwo
BraintreeTwo,"Dos Braintree",module,Magento_BraintreeTwo
